id,category_id,name,slug,short_description,long_description,logo,official_website,documentation,github,pricing_model,free_tier,open_source,popularity_score,featured,status,created_at,updated_at,normalized_name,community_rating,stack2set_rating,monthly_cost,enterprise_pricing,learning_curve,speed,scalability,reliability,security,compliance,integrations,apis,sdks,ai_features,languages,compatibility,pros,cons,best_use_cases,ai_summary,ai_suggested,source,last_synced_at
02fe4831-b32f-467b-87c4-2d0a9038d642,dcde4173-b7f3-4db7-b3d7-f065acb267af,Fly.io,fly-io,Run full-stack apps and databases close to users globally.,"Fly.io runs full-stack apps on dedicated VMs distributed across regions, with built-in Anycast networking and database support.",,https://fly.io,https://fly.io/docs,superfly/flyctl,freemium,true,false,82,false,active,2026-08-06 17:54:36.298892+00,2026-08-07 09:56:55.49178+00,flyio,4.7,4.9,20,Custom enterprise plans available,2,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Full-stack"",""Global"",""Docker""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Production-grade managed service with vendor support"",""Strong fit for full-stack"",""Strong fit for global""]","[""Paid tier adds ~$20/mo per project"",""Specialized feature set focused on global regions""]","[""Global regions"",""Fly Machines"",""Anycast""]","Fly.io runs full-stack apps on dedicated VMs distributed across regions, with built-in Anycast networking and database support.",false,seed,2026-08-07 09:56:46.003+00
0326e54d-c41b-4018-8baf-f3d2133a3cd8,f4a29886-cea4-4434-92e4-ef39f54a56a9,Google Vertex AI,google-vertex-ai,Machine learning platform that lets you train and deploy ML models and AI applications.,"Provides robust tools for video intelligence, computer vision tagging, and large-scale recommendation training.",,https://cloud.google.com/vertex-ai,https://cloud.google.com/vertex-ai/docs,,freemium,false,false,70,false,active,2026-08-06 18:03:01.251421+00,2026-08-07 10:03:06.738749+00,googlevertexai,4.6,4.8,20,Custom enterprise plans available,2,5,4,5,true,"[""SOC 2"",""GDPR""]",[],"[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Clear and transparent pricing model"",""Production-grade managed service with vendor support""]","[""Paid tier adds ~$20/mo per project""]",[],Machine learning platform that lets you train and deploy ML models and AI applications.,false,legacy,2026-08-07 10:02:58.011+00
032f082f-ce54-44b1-94ce-7da96fc73ef4,ffa7e089-641e-43fe-a52f-f84bfc308c55,MongoDB,mongodb,Document-based NoSQL database built for developers and scaling.,"MongoDB is the leading document database, storing flexible JSON-like documents with horizontal scaling and a rich aggregation pipeline.",,https://www.mongodb.com,https://www.mongodb.com/docs,mongodb/mongo,freemium,true,true,93,false,active,2026-08-06 17:54:15.550573+00,2026-08-07 09:56:51.963569+00,mongodb,4.9,5.0,20,Custom enterprise plans available,1,5,4,5,true,"[""SOC 2"",""GDPR""]","[""NoSQL"",""Document"",""Scalable""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Fully open source with an active community"",""Strong fit for nosql"",""Strong fit for document""]","[""Paid tier adds ~$20/mo per project"",""Specialized feature set focused on document model""]","[""Document model"",""Aggregation pipeline"",""Replica sets""]","MongoDB is the leading document database, storing flexible JSON-like documents with horizontal scaling and a rich aggregation pipeline.",false,seed,2026-08-07 09:56:46.003+00
060f74e8-887f-4062-a92b-1017889ef18e,c8764c65-c730-481b-b856-c87c1bb860a4,AWS S3,aws-s3,Industry-standard object storage with unmatched scale and durability.,"Amazon S3 is the de facto standard for object storage, offering industry-leading durability, scale, and ecosystem integration.",,https://aws.amazon.com/s3,https://docs.aws.amazon.com/s3,,usage-based,true,false,96,false,active,2026-08-06 17:54:57.359706+00,2026-08-07 09:56:58.061543+00,awss3,4.9,5.0,50,Custom enterprise plans available,1,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Object storage"",""Scalable"",""AWS""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Production-grade managed service with vendor support"",""Strong fit for object storage"",""Strong fit for scalable""]","[""Paid tier adds ~$50/mo per project"",""Specialized feature set focused on object storage""]","[""Object storage"",""Lifecycle rules"",""Versioning""]","Amazon S3 is the de facto standard for object storage, offering industry-leading durability, scale, and ecosystem integration.",false,seed,2026-08-07 09:56:46.003+00
066018e5-33a5-4bb2-85c9-441f666842e6,6f59e0a9-7526-496c-8109-b78e6b8a6f34,SST,sst,Build and deploy full-stack apps on AWS.,SST is a framework for building and deploying full-stack apps on AWS with a great developer experience.,,https://sst.dev,https://sst.dev/docs,sst/sst,open-source,true,true,78,false,active,2026-08-06 17:58:46.523853+00,2026-08-07 09:57:21.813439+00,sst,4.7,5.0,0,Self-hosted / source available,2,5,4,5,true,"[""SOC 2"",""GDPR""]","[""Deploy"",""AWS"",""Serverless""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Fully open source with an active community"",""Strong fit for deploy"",""Strong fit for aws""]","[""Advanced enterprise features may require a paid plan"",""Specialized feature set focused on aws deploys""]","[""AWS deploys"",""Live Lambda"",""Serverless framework""]",SST is a framework for building and deploying full-stack apps on AWS with a great developer experience.,false,seed,2026-08-07 09:57:11.861+00
06d46d6b-628b-4284-8e07-88d84f030093,5a1f1969-deca-45fb-9a19-e9206a81017b,Splunk,splunk,Enterprise log management and security analytics.,"Splunk ingests machine-generated data at enterprise scale for log management, monitoring, and security analytics.",,https://www.splunk.com,https://docs.splunk.com,,subscription,false,false,82,false,active,2026-08-06 17:56:46.946101+00,2026-08-07 09:57:12.657175+00,splunk,4.7,4.9,30,Custom enterprise plans available,2,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Log management"",""Enterprise"",""Security""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Clear and transparent pricing model"",""Production-grade managed service with vendor support"",""Strong fit for log management"",""Strong fit for enterprise""]","[""Paid tier adds ~$30/mo per project"",""Specialized feature set focused on log ingestion""]","[""Log ingestion"",""Search processing"",""Dashboards""]","Splunk ingests machine-generated data at enterprise scale for log management, monitoring, and security analytics.",false,seed,2026-08-07 09:56:46.003+00
072ecb83-68ab-46b1-bcf3-2ed5f719d4c2,519fed13-581b-4c40-9cb6-7c6793be2bb7,Pusher Channels,pusher,Hosted APIs to build real-time features with WebSocket and HTTP protocols,"Simple setup for broadcasting real-time ride status updates, driver approach alerts, and matching notifications to rider phones.",,https://pusher.com/channels,https://pusher.com/docs/channels,,freemium,false,false,80,false,active,2026-08-06 18:03:03.249985+00,2026-08-07 10:03:07.721513+00,pusherchannels,4.7,4.9,20,Custom enterprise plans available,2,5,5,5,true,"[""SOC 2"",""GDPR""]",[],"[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Clear and transparent pricing model"",""Production-grade managed service with vendor support""]","[""Paid tier adds ~$20/mo per project""]",[],Hosted APIs to build real-time features with WebSocket and HTTP protocols,false,legacy,2026-08-07 10:02:58.011+00
078ef49f-8ea9-458c-a235-6a86446ec816,8555d19e-4e5d-4acd-8c6e-6f4c031c1400,Algolia,algolia,"Hosted, API-first search with rich relevance controls.","Algolia is a hosted search-as-a-service platform with industry-leading relevance, speed, and analytics.",,https://www.algolia.com,https://www.algolia.com/doc,algolia/algoliasearch-client-javascript,usage-based,true,false,93,false,active,2026-08-06 17:56:01.569041+00,2026-08-07 09:57:05.395372+00,algolia,4.9,5.0,50,Custom enterprise plans available,1,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Hosted"",""Relevance"",""API""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Production-grade managed service with vendor support"",""Strong fit for hosted"",""Strong fit for relevance""]","[""Paid tier adds ~$50/mo per project"",""Specialized feature set focused on instant search""]","[""Instant search"",""Relevance controls"",""Analytics""]","Algolia is a hosted search-as-a-service platform with industry-leading relevance, speed, and analytics.",false,seed,2026-08-07 09:56:46.003+00
08bb8b14-9dad-4ea9-a489-d003b7531e0e,927f0ee8-199b-4de4-be4b-c37cf01237fd,Deno Deploy,deno-deploy,Edge-first serverless platform for Deno and JavaScript.,"Deno Deploy runs Deno, JavaScript, and TypeScript at the edge with global distribution.",,https://deno.com/deploy,https://docs.deno.com/deploy,denoland/deploy_feedback,freemium,true,false,76,false,active,2026-08-06 18:00:13.876001+00,2026-08-07 09:57:33.57597+00,denodeploy,4.7,4.9,20,Custom enterprise plans available,2,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Edge"",""Deno"",""Functions""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Production-grade managed service with vendor support"",""Strong fit for edge"",""Strong fit for deno""]","[""Paid tier adds ~$20/mo per project"",""Specialized feature set focused on edge compute""]","[""Edge compute"",""Deno runtime"",""Global distribution""]","Deno Deploy runs Deno, JavaScript, and TypeScript at the edge with global distribution.",false,seed,2026-08-07 09:56:46.003+00
08f2aba9-5dd1-42b1-aded-ac7f615b420b,992e98eb-66fc-4b98-ac20-1ba5a4945b82,Amazon Interactive Video Service (IVS),aws-ivs,Managed live streaming and video on demand solution built on AWS infrastructure.,Scalable managed transcoding and low-latency packaging infrastructure suitable for massive video libraries.,,https://aws.amazon.com/ivs,https://docs.aws.amazon.com/ivs,,freemium,false,false,90,true,active,2026-08-06 18:02:48.665437+00,2026-08-07 10:03:03.669026+00,amazoninteractivevideoserviceivs,4.9,5.0,20,Custom enterprise plans available,1,5,5,5,true,"[""SOC 2"",""GDPR""]",[],"[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Clear and transparent pricing model"",""Production-grade managed service with vendor support""]","[""Paid tier adds ~$20/mo per project""]",[],Managed live streaming and video on demand solution built on AWS infrastructure.,false,legacy,2026-08-07 10:02:58.011+00
0909b72b-7ac4-4885-a962-caac16eccf05,927f0ee8-199b-4de4-be4b-c37cf01237fd,Azure Functions,azure-functions,Event-driven serverless compute on Microsoft Azure.,Azure Functions runs event-driven code in the cloud with deep Azure integration.,,https://azure.microsoft.com/products/functions,https://learn.microsoft.com/azure/azure-functions,,usage-based,true,false,86,false,active,2026-08-06 18:00:05.137196+00,2026-08-07 09:57:33.173635+00,azurefunctions,4.8,5.0,50,Custom enterprise plans available,2,5,5,5,true,"[""SOC 2"",""GDPR""]","[""Functions"",""Azure"",""Event driven""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Production-grade managed service with vendor support"",""Strong fit for functions"",""Strong fit for azure""]","[""Paid tier adds ~$50/mo per project"",""Specialized feature set focused on functions as a service""]","[""Functions as a service"",""Triggers"",""Durable functions""]",Azure Functions runs event-driven code in the cloud with deep Azure integration.,false,seed,2026-08-07 09:56:46.003+00
09cb8d5e-bb65-4fe0-8670-6a180f1e1e53,a4c7bb31-253c-4480-97ff-ec82718317eb,ImageKit,imagekit,Complete image optimization and transformation CDN,"Specialized media CDN that automatically optimizes, compresses, and resizes user-uploaded photos for different screen sizes.",,https://imagekit.io,https://docs.imagekit.io,,freemium,false,false,50,false,active,2026-08-06 18:09:15.164003+00,2026-08-07 10:02:58.936936+00,imagekit,4.3,4.5,20,Custom enterprise plans available,3,5,4,5,true,"[""SOC 2"",""GDPR""]",[],"[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Clear and transparent pricing model"",""Production-grade managed service with vendor support""]","[""Paid tier adds ~$20/mo per project""]",[],Complete image optimization and transformation CDN,false,legacy,2026-08-07 10:02:58.391+00
09e8deda-d87f-4764-98a7-b95014d1203a,ac238280-4410-4117-a322-fbb734785893,Express,express,Minimal and flexible Node.js web application framework.,"Express is the de facto standard Node.js web framework, providing a thin layer of routing and middleware on top of Node HTTP servers.",,https://expressjs.com,https://expressjs.com,expressjs/express,open-source,true,true,91,false,active,2026-08-06 17:53:43.196396+00,2026-08-07 09:56:48.231548+00,express,4.9,5.0,0,Self-hosted / source available,1,5,4,5,true,"[""SOC 2"",""GDPR""]","[""Node.js"",""Web framework"",""API""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Fully open source with an active community"",""Strong fit for node.js"",""Strong fit for web framework""]","[""Advanced enterprise features may require a paid plan"",""Specialized feature set focused on routing""]","[""Routing"",""Middleware"",""Minimal core""]","Express is the de facto standard Node.js web framework, providing a thin layer of routing and middleware on top of Node HTTP servers.",false,seed,2026-08-07 09:56:46.003+00
0a19ac85-8878-4e4d-b8d2-6947adae2fd8,cba78256-c6ac-4552-8f6f-e09763120cd5,Next.js,next-js,"The React framework for production with SSR, SSG, and edge rendering.","Next.js is the most popular React framework, providing file-based routing, server-side rendering, static generation, image optimization, and API routes out of the box.",,https://nextjs.org,https://nextjs.org/docs,vercel/next.js,open-source,true,true,97,true,active,2026-08-06 17:53:26.124912+00,2026-08-07 09:56:46.886852+00,nextjs,5.0,5.0,0,Self-hosted / source available,1,5,4,5,true,"[""SOC 2"",""GDPR""]","[""React"",""SSR"",""Framework""]","[""REST"",""Webhooks""]",[],[],"[""JavaScript"",""TypeScript"",""Node.js""]","{""Go"":true,""Vue"":true,""Java"":true,""Node"":true,""React"":true,""Mobile"":true,""Python"":true,""Angular"":true,""Next.js"":true}","[""Generous free tier to get started without upfront cost"",""Fully open source with an active community"",""Strong fit for react"",""Strong fit for ssr""]","[""Advanced enterprise features may require a paid plan"",""Specialized feature set focused on server-side rendering""]","[""Server-side rendering"",""Static site generation"",""API routes""]","Next.js is the most popular React framework, providing file-based routing, server-side rendering, static generation, image optimization, and API routes out of the box.",false,seed,2026-08-07 09:56:46.003+00
