id,name,slug,icon,description,aliases,created_at,updated_at
01a286c9-b740-410c-aea7-ac049fe47264,HR,hr,user-round,Human resources,"[""recruitment""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
092a7dfa-3315-4f49-ba83-aa76420f527a,Robotics,robotics,bot,Robotics platforms,"[""robots""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
13263c6b-9a97-466a-b2c6-ae07c0aa013f,Forms,forms,clipboard-list,Form builders,"[""surveys""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
142a6261-876d-4af2-8366-b31294a9721f,Research,research,book-open,Research and literature tools,"[""academic"",""papers""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
166898c6-f5eb-4fc9-83ce-9578f5cf4639,Summarization,summarization,file-text,Summarize long documents,"[""summary"",""notes""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
1750d38b-d7d3-4079-b2b5-9828ec10a16c,Audio Generation,audio-generation,music,Generate or transform audio with AI,"[""audio-ai"",""sound-generation""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
1999593f-1bb4-42be-af43-bf44dcec2553,Monitoring,monitoring,activity,"Metrics, dashboards, and alerting to keep your application healthy.","[""observability"",""app-monitoring"",""metrics"",""uptime""]",2026-08-06 17:53:19.767207+00,2026-08-06 17:54:10.948782+00
19d66eca-e07c-49ac-a121-0556077a4a4a,UI/UX,ui-ux,layout,UI and UX design tools,"[""figma"",""prototype""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
2207e1b7-48b9-4894-8fbe-1ba4bc43458b,Surveys,surveys,list-checks,Survey platforms,"[""feedback""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
25449b2d-886f-4a9a-a269-a900703827e7,Browser Automation,browser-automation,mouse-pointer-click,Browser automation,"[""playwright"",""selenium""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
2710572b-7045-4766-a00a-2db27e59e49c,RAG,rag,brain-circuit,Retrieval augmented generation,"[""retrieval""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
2797feaa-f0de-49fb-a561-9ae4a267959b,Music Generation,music-generation,music-2,Create music and melodies,"[""ai-music"",""song-generator""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
28a2426e-22c0-4fc9-83ad-94f4ffa81a30,Cloud,cloud,cloud-cog,"Compute, IaaS, and managed infrastructure from major cloud providers.","[""cloud-provider"",""iaas"",""cloud-infrastructure""]",2026-08-06 17:53:17.425926+00,2026-08-06 17:54:09.089962+00
305bba2b-00cb-4aa2-a0d9-7a6be345138b,Sales,sales,badge-dollar-sign,Sales enablement,"[""pipeline"",""leads""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
3c095c4f-1cfa-4a8b-a776-dc5aba0a9a0a,Finance,finance,wallet,Financial software,"[""accounting"",""budget""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
41cda11a-674a-4279-bf13-5bb44ef3a395,Legal,legal,scale,Legal tech,"[""contracts"",""law""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
519fed13-581b-4c40-9cb6-7c6793be2bb7,Chat,chat,message-circle,Realtime chat and messaging APIs for in-app conversations.,"[""messaging"",""realtime-chat"",""chat-api"",""conversations""]",2026-08-06 17:53:21.514973+00,2026-08-06 17:54:12.444516+00
53646ae9-a71a-481b-8a5a-44fb9265ab23,OCR,ocr,scan-text,Optical character recognition to extract text from images and documents.,"[""optical-character-recognition"",""document-ai"",""text-extraction""]",2026-08-06 17:53:20.756534+00,2026-08-06 17:54:11.880991+00
549565f1-65f5-4dcf-8111-b9c9b3f8ff7a,Presentation,presentation,presentation,Presentation builders,"[""slides"",""ppt""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
5a1f1969-deca-45fb-9a19-e9206a81017b,Logging,logging,scroll-text,"Centralized log management, search, and analysis.","[""log-management"",""logs"",""log-aggregation"",""log-analysis""]",2026-08-06 17:53:19.969664+00,2026-08-06 17:54:11.130275+00
60501e11-8013-4979-99d7-0259232c9931,Notifications,notifications,bell,"Push notifications, in-app messaging, and multi-channel alert systems.","[""push-notifications"",""notification"",""push"",""alerts""]",2026-08-06 17:53:21.839883+00,2026-08-06 17:54:12.634237+00
60f366d1-ef74-448d-9b69-a98d1669ad73,Knowledge Base,knowledge-base,library,Documentation and wiki,"[""wiki""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
